id,name,publisher,category,description,url,origin_repository,source_type,record_type,install_status,verification_status,listing_source,source_commit,indexed_at
skill-11aeb5d22af3,microsoft/azure-resource-manager-mysql-dotnet,microsoft,.NET Skills,MySQL Flexible Server management,https://officialskills.sh/microsoft/skills/azure-resource-manager-mysql-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-0742947d462e,microsoft/azure-resource-manager-playwright-dotnet,microsoft,.NET Skills,Playwright Testing workspace management,https://officialskills.sh/microsoft/skills/azure-resource-manager-playwright-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-a438b7ba871d,microsoft/azure-resource-manager-postgresql-dotnet,microsoft,.NET Skills,PostgreSQL Flexible Server management,https://officialskills.sh/microsoft/skills/azure-resource-manager-postgresql-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-21f0dd288470,microsoft/azure-resource-manager-redis-dotnet,microsoft,.NET Skills,Azure Cache for Redis provisioning,https://officialskills.sh/microsoft/skills/azure-resource-manager-redis-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-00dce85f6f05,microsoft/azure-resource-manager-sql-dotnet,microsoft,.NET Skills,Azure SQL resource management,https://officialskills.sh/microsoft/skills/azure-resource-manager-sql-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-e6643b07a259,microsoft/azure-search-documents-dotnet,microsoft,.NET Skills,"Full-text, vector, and hybrid search",https://officialskills.sh/microsoft/skills/azure-search-documents-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-e0af3218c5e4,microsoft/azure-security-keyvault-keys-dotnet,microsoft,.NET Skills,Cryptographic key management,https://officialskills.sh/microsoft/skills/azure-security-keyvault-keys-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-97552e95d75a,microsoft/azure-servicebus-dotnet,microsoft,.NET Skills,Enterprise messaging with queues and topics,https://officialskills.sh/microsoft/skills/azure-servicebus-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-c8c6dc322ce6,microsoft/m365-agents-dotnet,microsoft,.NET Skills,"M365, Teams, and Copilot Studio agents",https://officialskills.sh/microsoft/skills/m365-agents-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-fb002c7c01b7,microsoft/microsoft-azure-webjobs-extensions-authentication-events-dotnet,microsoft,.NET Skills,Entra ID custom auth events handler,https://officialskills.sh/microsoft/skills/microsoft-azure-webjobs-extensions-authentication-events-dotnet,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-16e183813359,realkimbarrett/ad-angle-multiplier,realkimbarrett,Advertising Skills by Kim Barrett,Expand a core idea into multiple distinct ad angles for creative testing,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/operator-os/ad-angle-multiplier,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-2f7b319e5b01,realkimbarrett/avatar-extraction,realkimbarrett,Advertising Skills by Kim Barrett,"Define exactly who the buyer is, what they want, what they've tried, and what's driving their decisions",https://github.com/realkimbarrett/advertising-skills/tree/main/skills/foundations/avatar-extraction,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-2702eb4fc2f4,realkimbarrett/conversion-path-builder,realkimbarrett,Advertising Skills by Kim Barrett,Design the optimal funnel from click to conversion and booked calls,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/operator-os/conversion-path-builder,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-705070db26fd,realkimbarrett/full-funnel-campaign-orchestrator,realkimbarrett,Advertising Skills by Kim Barrett,Coordinate all skills to build a complete ads + funnel campaign end-to-end,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/orchestrators/full-funnel-campaign-orchestrator,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-cde6cb95eed6,realkimbarrett/generic-language-killer,realkimbarrett,Advertising Skills by Kim Barrett,"Remove vague, corporate, or AI-sounding language and replace it with clear, specific, human wording",https://github.com/realkimbarrett/advertising-skills/tree/main/skills/qa/generic-language-killer,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-bb80bb752167,realkimbarrett/headline-matrix,realkimbarrett,Advertising Skills by Kim Barrett,Generate high-performing headline variations across different angles,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/copy-chief/headline-matrix,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-b91c4e2fb61b,realkimbarrett/mechanism-builder,realkimbarrett,Advertising Skills by Kim Barrett,Explain why your solution works and others failed with a unique mechanism,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/copy-chief/mechanism-builder,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-87b5608acc70,realkimbarrett/objection-crusher,realkimbarrett,Advertising Skills by Kim Barrett,Identify and neutralize buyer objections and hesitation,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/copy-chief/objection-crusher,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-3b3ba5128c5f,realkimbarrett/offer-extraction,realkimbarrett,Advertising Skills by Kim Barrett,"Turn a product or service into a compelling, high-converting offer",https://github.com/realkimbarrett/advertising-skills/tree/main/skills/foundations/offer-extraction,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-51f4b103fde8,realkimbarrett/performance-diagnosis,realkimbarrett,Advertising Skills by Kim Barrett,"Diagnose why campaigns are underperforming — low conversion, high CPL, bad ads",https://github.com/realkimbarrett/advertising-skills/tree/main/skills/operator-os/performance-diagnosis,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-b98927c95b7e,realkimbarrett/schwartz-awareness-mapper,realkimbarrett,Advertising Skills by Kim Barrett,Determine audience awareness level and the correct messaging approach,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/copy-chief/schwartz-awareness-mapper,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-6767bf11137e,realkimbarrett/scroll-stopping-creative,realkimbarrett,Advertising Skills by Kim Barrett,Create ad concepts that stop attention in the first 3 seconds,https://github.com/realkimbarrett/advertising-skills/tree/main/skills/operator-os/scroll-stopping-creative,realkimbarrett/advertising-skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-a9d7cf09db12,awrshift/claude-memory-kit,awrshift,Context Engineering,"Persistent memory with hooks, wiki, and daily synthesis for multi-project workflows",https://github.com/awrshift/claude-memory-kit,awrshift/claude-memory-kit,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-19c03b1c4212,k-kolomeitsev/data-structure-protocol,k-kolomeitsev,Context Engineering,"Graph-based long-term memory skill for AI (LLM) coding agents — faster context, fewer tokens, safer refactors",https://github.com/k-kolomeitsev/data-structure-protocol,k-kolomeitsev/data-structure-protocol,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-7b789557041e,khendzel/skills-janitor,khendzel,Context Engineering,"Token audit, usage tracking, and swipe-to-delete skill pruning.",https://github.com/khendzel/skills-janitor,khendzel/skills-janitor,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-009c54e82d72,muratcankoylan/context-compression,muratcankoylan,Context Engineering,Design and evaluate compression strategies for long-running sessions,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-compression,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-df6c329e913a,muratcankoylan/context-degradation,muratcankoylan,Context Engineering,"Recognize patterns of context failure: lost-in-middle, poisoning, distraction, and clash",https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-degradation,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-2a9a1da67932,muratcankoylan/context-fundamentals,muratcankoylan,Context Engineering,"Understand what context is, why it matters, and the anatomy of context in agent systems",https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-fundamentals,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-3764222d95fc,muratcankoylan/context-optimization,muratcankoylan,Context Engineering,"Apply compaction, masking, and caching strategies",https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/context-optimization,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-8d42d058599f,muratcankoylan/evaluation,muratcankoylan,Context Engineering,Build evaluation frameworks for agent systems,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/evaluation,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-6ff3e4c7878a,muratcankoylan/memory-systems,muratcankoylan,Context Engineering,"Design short-term, long-term, and graph-based memory architectures",https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/memory-systems,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-b4dd39bcc1dc,muratcankoylan/multi-agent-patterns,muratcankoylan,Context Engineering,"Master orchestrator, peer-to-peer, and hierarchical multi-agent architectures",https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/multi-agent-patterns,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-e5f9e0820ba0,muratcankoylan/tool-design,muratcankoylan,Context Engineering,"Build tools that agents can use effectively, including architectural reduction patterns",https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering/tree/main/skills/tool-design,muratcankoylan/Agent-Skills-for-Context-Engineering,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-c8c0daff7d1a,NeoLabHQ/prompt-engineering,NeoLabHQ,Context Engineering,"Widely used prompt engineering techniques and patterns, including Anthropic best practices and agent persuasion principles.",https://github.com/NeoLabHQ/context-engineering-kit/tree/master/plugins/customaize-agent/skills/prompt-engineering,NeoLabHQ/context-engineering-kit,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-a205d6b041f2,ohad6k/emulo,ohad6k,Context Engineering,Mines AI coding logs into personal agent profiles,https://github.com/ohad6k/emulo,ohad6k/emulo,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-661fe0631758,oliver-zehentleitner/keep-the-why,oliver-zehentleitner,Context Engineering,"Preserves the reasoning behind a codebase — decisions, workarounds, rejected alternatives",https://github.com/oliver-zehentleitner/keep-the-why,oliver-zehentleitner/keep-the-why,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-d00d272b2b99,Panniantong/Agent-Reach,Panniantong,Context Engineering,Multi-platform search CLI for 17 sites including Chinese platforms,https://github.com/Panniantong/Agent-Reach,Panniantong/Agent-Reach,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-041acc55bb5b,sametbrr/llm-wiki-manager,sametbrr,Context Engineering,"Persistent LLM-managed personal wiki — the model writes, cross-references, and maintains the knowledge base while you curate sources. Implements Karpathy's LLM Wiki pattern with 8 operating modes.",https://github.com/sametbrr/llm-wiki-manager,sametbrr/llm-wiki-manager,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-87f9761d4e8c,stjbrown/agent-knowledge,stjbrown,Context Engineering,"Maintains portable, cited agent knowledge bases in plain Markdown",https://github.com/stjbrown/agent-knowledge,stjbrown/agent-knowledge,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-52bf81ce2273,Tubo2333/obsidian-knowledge-brain,Tubo2333,Context Engineering,Cross-session knowledge memory and rule evolution for AI coding agents,https://github.com/Tubo2333/obsidian-knowledge-brain,Tubo2333/obsidian-knowledge-brain,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-36b31cc73895,zilliztech/mfs,zilliztech,Context Engineering,"mfs-find / mfs-ingest skills that search, grep and read across your code, docs, chat (Slack/Gmail/Jira), databases and object stores as one file-like, searchable namespace; self-hosted with local ONNX embeddings",https://github.com/zilliztech/mfs,zilliztech/mfs,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-e95a77a7cd0f,microsoft/cloud-solution-architect,microsoft,Core Skills,Design well-architected Azure cloud systems,https://officialskills.sh/microsoft/skills/cloud-solution-architect,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-771aad4e2611,microsoft/continual-learning,microsoft,Core Skills,Continual learning patterns for Azure AI,https://officialskills.sh/microsoft/skills/continual-learning,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-bfa901fa3dcb,microsoft/copilot-sdk,microsoft,Core Skills,Build applications powered by GitHub Copilot SDK,https://officialskills.sh/microsoft/skills/copilot-sdk,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-68972c8c3a4f,microsoft/entra-agent-id,microsoft,Core Skills,Microsoft Entra Agent ID OAuth2 identities via Graph API,https://officialskills.sh/microsoft/skills/entra-agent-id,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-6af3a28f2704,microsoft/frontend-design-review,microsoft,Core Skills,Review and create distinctive frontend interfaces,https://officialskills.sh/microsoft/skills/frontend-design-review,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-d439e4fc4420,microsoft/github-issue-creator,microsoft,Core Skills,Structured GitHub issue reports from notes,https://officialskills.sh/microsoft/skills/github-issue-creator,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-2df49f9de702,microsoft/mcp-builder,microsoft,Core Skills,MCP server creation guide for LLM tool integration,https://officialskills.sh/microsoft/skills/mcp-builder,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-bfbece695520,microsoft/podcast-generation,microsoft,Core Skills,AI podcast audio with Azure OpenAI Realtime API,https://officialskills.sh/microsoft/skills/podcast-generation,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-93b86d07e3a0,microsoft/skill-creator,microsoft,Core Skills,Guide for creating effective skills for AI coding agents,https://officialskills.sh/microsoft/skills/skill-creator,microsoft/skills,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
skill-2b970647c18b,alinaqi/claude-bootstrap,alinaqi,Development and Testing,"Opinionated project initialization with security-first guardrails, spec-driven atomic todos, LLM testing patterns, and CLI tool orchestration (gh, vercel, supabase)",https://github.com/alinaqi/claude-bootstrap,alinaqi/claude-bootstrap,curated,real-skill-index-entry,not-installed,indexed-link-not-audited,voltagent-awesome-agent-skills,947656d844327df4d826eec58d74e17cd4fdbc4d,2026-08-13T09:34:35Z
