id,domain,idea,research_question,minimum_evidence
IDEA-016,Multi-omics,批次校正与生物差异分离,怎样检测过度校正掩盖真实状态变化？,正负对照；已知差异；模拟数据；外部验证
IDEA-017,Bioinformatics,Agent 化分析审计,Agent 能否自动检查生物信息流程的数据泄漏、版本和统计错误？,已知缺陷基准；专家盲审；可修复建议
IDEA-018,Bioinformatics,文献—数据—实验闭环,Agent 如何从文献提出可计算、可实验验证的生物假设？,来源链；预测；独立数据；实验可行性
IDEA-019,Clinical AI,跨医院确认门槛,什么证据足以把研究模型推进到临床前验证？,外部验证；校准；亚组；决策曲线；安全
IDEA-020,Clinical AI,诊断 Agent 人工申诉,如何设计医生与患者可以理解、纠正和追溯的 Agent 决策流程？,解释；日志；申诉时间；责任边界
IDEA-021,LLM,长上下文有效容量,名义上下文长度与任务相关信息可用容量有何差异？,位置；干扰；检索；记忆；成本
IDEA-022,LLM,引用真实性检测,能否自动判断模型引用是否真的支持主张？,原文定位；蕴含；日期版本；反例
IDEA-023,LLM,不确定性表达与决策,什么表达方式能让用户正确理解模型不知道什么？,校准；用户决策；过度信任；任务风险
IDEA-024,Multimodal,图表—正文一致性,Agent 能否发现论文图表、标题、正文和原始数据的不一致？,人工缺陷集；结构解析；数值复算
IDEA-025,Multimodal,病理图像与空间组学对齐,如何在形变和组织缺失下对齐图像、坐标与表达？,地标；变形场；生物对应；不确定性
IDEA-026,Evaluation,指标游戏化检测,Agent 是否会优化指标而损害真实任务？,反指标；隐藏集；行为审计；用户效用
IDEA-027,Evaluation,等成本能力比较,怎样公平比较不同 Agent 的 token、调用、工具和环境预算？,预算匹配；能力/效率分离；置信区间
IDEA-028,Evaluation,负结果知识库,结构化负结果是否能减少重复失败和选择性发表？,可检索性；迁移；复现；激励
IDEA-029,Interpretability,解释忠实度干预,解释中的重要特征在干预后是否真实改变模型行为？,移除；替换；反事实；因果中介
IDEA-030,Robustness,数据管线漂移定位,如何区分数据源、预处理、模型和业务规则造成的漂移？,分层监控；回放；根因；恢复
IDEA-031,Systems,科研工作流可复现容器,怎样让复杂空间组学流程在不同算力环境稳定重放？,锁定环境；数据哈希；容差；成本
IDEA-032,Systems,GPU 预算下的自适应实验,Agent 如何在有限 GPU 下分配探索、确认和复现预算？,bandit；停止规则；确认保护；机会成本
IDEA-033,Open Science,Skill 作为方法附录,论文方法能否用 Skill 封装为可执行、可测试、可维护的协议？,触发；输入输出；测试；版本；许可证
IDEA-034,Open Science,复现者体验指标,除了成功/失败，如何测量第三方复现成本与隐性知识？,时间；询问次数；环境差异；文档缺口
IDEA-035,Research Practice,主张—证据矩阵自动审计,Agent 能否发现论文中过度主张、无证据结论和遗漏边界？,专家标注；句级来源；严重度
IDEA-036,Research Practice,审稿意见因果分类,哪些审稿意见真正改善科学质量，哪些只改变叙事？,版本 diff；后续复现；接收偏差
IDEA-037,Education,Agent 时代的研究训练,怎样训练学生使用 Agent 但保留独立推理、验证和责任？,盲任务；迁移；错误发现；依赖度
IDEA-038,Product,研究 Agent 的真实留存,哪些功能让科研用户持续使用，而非只在演示时惊艳？,留存；完成率；错误成本；访谈
IDEA-039,Product,Skill 搜索与可信排序,怎样让用户按任务、权限和证据找到合适 Skill？,检索相关性；安全过滤；多样性；解释
IDEA-040,Leadership,开放研究议程治理,如何让长期议程接受外部挑战、失败修正和新成员贡献？,决策日志；异议；修订；资源分配
IDEA-041,LED,技术商业双飞轮,LED 如何让技术深度、用户价值、团队成长和商业现金流互相增强？,产品指标；技术债；人才留存；信任
